Unit,Category,Episode,Loading
Sherman Creek,Duff,Pre,13.9
Sherman Creek,Litter,Pre,2.04
Sherman Creek,1hr,Pre,0.03
Sherman Creek,10hr,Pre,0.89
Sherman Creek,100hr,Pre,1.79
Sherman Creek,1000hr,Pre,6.33
Sherman Creek,Herb,Pre,0.27
Sherman Creek,Shrub,Pre,0.08
Sherman Creek,Total,Pre,25.33
Sherman Creek,Duff,Post,13.43
Sherman Creek,Litter,Post,0.48
Sherman Creek,1hr,Post,0.02
Sherman Creek,10hr,Post,0.79
Sherman Creek,100hr,Post,1.49
Sherman Creek,1000hr,Post,5.9
Sherman Creek,Herb,Post,0.12
Sherman Creek,Shrub,Post,0.03
Sherman Creek,Total,Post,22.26
25 Mile,Duff,Pre,7.11
25 Mile,Litter,Pre,3.93
25 Mile,1hr,Pre,0.07
25 Mile,10hr,Pre,0.77
25 Mile,100hr,Pre,1.28
25 Mile,1000hr,Pre,9.31
25 Mile,Herb,Pre,0.16
25 Mile,Shrub,Pre,0.12
25 Mile,Total,Pre,22.75
25 Mile,Duff,Post,6.15
25 Mile,Litter,Post,2.33
25 Mile,1hr,Post,0.03
25 Mile,10hr,Post,0.28
25 Mile,100hr,Post,0.55
25 Mile,1000hr,Post,8.35
25 Mile,Herb,Post,0.04
25 Mile,Shrub,Post,0.1
25 Mile,Total,Post,17.83
